id,questionName,questionURL,acceptancePercentage,difficultyLevel,questionTags
54,54. Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,43.50%,Medium,"Array, Matrix, Simulation"
55,55. Jump Game,https://leetcode.com/problems/jump-game/,38.40%,Medium,"Array, Dynamic Programming, Greedy"
56,56. Merge Intervals,https://leetcode.com/problems/merge-intervals/,45.80%,Medium,"Array, Sorting"
57,57. Insert Interval,https://leetcode.com/problems/insert-interval/,37.90%,Medium,Array
58,58. Length of Last Word,https://leetcode.com/problems/length-of-last-word/,40.20%,Easy,String
59,59. Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii/,66.40%,Medium,"Array, Matrix, Simulation"
60,60. Permutation Sequence,https://leetcode.com/problems/permutation-sequence/,43.70%,Hard,"Math, Recursion"
61,61. Rotate List,https://leetcode.com/problems/rotate-list/,35.70%,Medium,"Linked List, Two Pointers"
62,62. Unique Paths,https://leetcode.com/problems/unique-paths/,62.10%,Medium,"Math, Dynamic Programming, Combinatorics"
63,63. Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,39.10%,Medium,"Array, Dynamic Programming, Matrix"
64,64. Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,60.50%,Medium,"Array, Dynamic Programming, Matrix"
65,65. Valid Number,https://leetcode.com/problems/valid-number/,18.60%,Hard,String
66,66. Plus One,https://leetcode.com/problems/plus-one/,43.30%,Easy,"Array, Math"
67,67. Add Binary,https://leetcode.com/problems/add-binary/,51.30%,Easy,"Math, String, Bit Manipulation, Simulation"
68,68. Text Justification,https://leetcode.com/problems/text-justification/,36.50%,Hard,"Array, String, Simulation"
69,69. Sqrt(x),https://leetcode.com/problems/sqrtx/,37.00%,Easy,"Math, Binary Search"
70,70. Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,51.70%,Easy,"Math, Dynamic Programming, Memoization"
71,71. Simplify Path,https://leetcode.com/problems/simplify-path/,39.20%,Medium,"String, Stack"
72,72. Edit Distance,https://leetcode.com/problems/edit-distance/,52.50%,Hard,"String, Dynamic Programming"
73,73. Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,49.90%,Medium,"Array, Hash Table, Matrix"
74,74. Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,46.70%,Medium,"Array, Binary Search, Matrix"
75,75. Sort Colors,https://leetcode.com/problems/sort-colors/,57.00%,Medium,"Array, Two Pointers, Sorting"
76,76. Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,40.00%,Hard,"Hash Table, String, Sliding Window"
77,77. Combinations,https://leetcode.com/problems/combinations/,65.90%,Medium,Backtracking
78,78. Subsets,https://leetcode.com/problems/subsets/,73.70%,Medium,"Array, Backtracking, Bit Manipulation"
79,79. Word Search,https://leetcode.com/problems/word-search/,39.80%,Medium,"Array, Backtracking, Matrix"
80,80. Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,51.50%,Medium,"Array, Two Pointers"
81,81. Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,35.70%,Medium,"Array, Binary Search"
82,82. Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,45.40%,Medium,"Linked List, Two Pointers"
83,83. Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,49.80%,Easy,Linked List
84,84. Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,42.00%,Hard,"Array, Stack, Monotonic Stack"
85,85. Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,44.10%,Hard,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
86,86. Partition List,https://leetcode.com/problems/partition-list/,51.20%,Medium,"Linked List, Two Pointers"
87,87. Scramble String,https://leetcode.com/problems/scramble-string/,36.10%,Hard,"String, Dynamic Programming"
88,88. Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,45.60%,Easy,"Array, Two Pointers, Sorting"
89,89. Gray Code,https://leetcode.com/problems/gray-code/,56.40%,Medium,"Math, Backtracking, Bit Manipulation"
90,90. Subsets II,https://leetcode.com/problems/subsets-ii/,55.10%,Medium,"Array, Backtracking, Bit Manipulation"
91,91. Decode Ways,https://leetcode.com/problems/decode-ways/,32.10%,Medium,"String, Dynamic Programming"
92,92. Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,45.30%,Medium,Linked List
93,93. Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses/,43.20%,Medium,"String, Backtracking"
94,94. Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/,72.90%,Easy,"Stack, Tree, Depth-First Search, Binary Tree"
95,95. Unique Binary Search Trees II,https://leetcode.com/problems/unique-binary-search-trees-ii/,51.40%,Medium,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree"
96,96. Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees/,59.20%,Medium,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
97,97. Interleaving String,https://leetcode.com/problems/interleaving-string/,37.10%,Medium,"String, Dynamic Programming"
98,98. Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,31.70%,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
99,99. Recover Binary Search Tree,https://leetcode.com/problems/recover-binary-search-tree/,50.20%,Medium,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
100,100. Same Tree,https://leetcode.com/problems/same-tree/,56.30%,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
